"","neighbourhood_name","decade_planted","count"
"1","ARBUTUS-RIDGE","90's",826
"2","ARBUTUS-RIDGE","00's",1176
"3","ARBUTUS-RIDGE","10's",535
"4","ARBUTUS-RIDGE",NA,2632
"5","DOWNTOWN","90's",569
"6","DOWNTOWN","00's",1179
"7","DOWNTOWN","10's",464
"8","DOWNTOWN",NA,2947
"9","DUNBAR-SOUTHLANDS","90's",1111
"10","DUNBAR-SOUTHLANDS","00's",1631
"11","DUNBAR-SOUTHLANDS","10's",939
"12","DUNBAR-SOUTHLANDS",NA,5734
"13","FAIRVIEW","90's",463
"14","FAIRVIEW","00's",648
"15","FAIRVIEW","10's",243
"16","FAIRVIEW",NA,2648
"17","GRANDVIEW-WOODLAND","90's",945
"18","GRANDVIEW-WOODLAND","00's",1217
"19","GRANDVIEW-WOODLAND","10's",807
"20","GRANDVIEW-WOODLAND",NA,3734
"21","HASTINGS-SUNRISE","90's",2291
"22","HASTINGS-SUNRISE","00's",2305
"23","HASTINGS-SUNRISE","10's",1090
"24","HASTINGS-SUNRISE",NA,4861
"25","KENSINGTON-CEDAR COTTAGE","90's",2252
"26","KENSINGTON-CEDAR COTTAGE","00's",2364
"27","KENSINGTON-CEDAR COTTAGE","10's",1180
"28","KENSINGTON-CEDAR COTTAGE",NA,5246
"29","KERRISDALE","90's",893
"30","KERRISDALE","00's",1338
"31","KERRISDALE","10's",747
"32","KERRISDALE",NA,3958
"33","KILLARNEY","90's",1228
"34","KILLARNEY","00's",923
"35","KILLARNEY","10's",726
"36","KILLARNEY",NA,3271
"37","KITSILANO","90's",780
"38","KITSILANO","00's",981
"39","KITSILANO","10's",748
"40","KITSILANO",NA,5606
"41","MARPOLE","90's",1146
"42","MARPOLE","00's",1247
"43","MARPOLE","10's",751
"44","MARPOLE",NA,3209
"45","MOUNT PLEASANT","90's",1121
"46","MOUNT PLEASANT","00's",1085
"47","MOUNT PLEASANT","10's",635
"48","MOUNT PLEASANT",NA,3451
"49","OAKRIDGE","90's",1064
"50","OAKRIDGE","00's",835
"51","OAKRIDGE","10's",685
"52","OAKRIDGE",NA,2212
"53","RENFREW-COLLINGWOOD","90's",2283
"54","RENFREW-COLLINGWOOD","00's",2584
"55","RENFREW-COLLINGWOOD","10's",1646
"56","RENFREW-COLLINGWOOD",NA,4873
"57","RILEY PARK","90's",1086
"58","RILEY PARK","00's",1643
"59","RILEY PARK","10's",580
"60","RILEY PARK",NA,3561
"61","SHAUGHNESSY","90's",850
"62","SHAUGHNESSY","00's",1059
"63","SHAUGHNESSY","10's",702
"64","SHAUGHNESSY",NA,4398
"65","SOUTH CAMBIE","90's",914
"66","SOUTH CAMBIE","00's",633
"67","SOUTH CAMBIE","10's",296
"68","SOUTH CAMBIE",NA,1500
"69","STRATHCONA","90's",458
"70","STRATHCONA","00's",444
"71","STRATHCONA","10's",503
"72","STRATHCONA",NA,1319
"73","SUNSET","90's",1499
"74","SUNSET","00's",2002
"75","SUNSET","10's",1021
"76","SUNSET",NA,3845
"77","VICTORIA-FRASERVIEW","90's",1485
"78","VICTORIA-FRASERVIEW","00's",1593
"79","VICTORIA-FRASERVIEW","10's",1020
"80","VICTORIA-FRASERVIEW",NA,3691
"81","WEST END","90's",389
"82","WEST END","00's",446
"83","WEST END","10's",248
"84","WEST END",NA,2424
"85","WEST POINT GREY","90's",752
"86","WEST POINT GREY","00's",732
"87","WEST POINT GREY","10's",582
"88","WEST POINT GREY",NA,2873
